,sbb_stop_to_stop_lausanne_region.stop_id_a,sbb_stop_to_stop_lausanne_region.stop_id_b,sbb_stop_to_stop_lausanne_region.distance
2603,8501121:0:2,8501121:0:1,18.897655
2604,8501121:0:2,8504000,399.00684
2605,8501121:0:2,8588440,494.57373
2606,8501121:0:2,8592188,153.45488
2607,8501121:0:2,8504000:0:1,416.74268
2608,8501121:0:2,8592182,423.1592
2609,8501121:0:2,Parent8501121,79.747856
2610,8501121:0:2,8592196,466.15048
2611,8501162:0:2,Parent8501162,0.0
2612,8501162:0:2,8592173,327.7927
2613,8501162:0:2,8501162,0.0
2614,8501162:0:2,8592124,359.65018
2615,8501162:0:2,8592107,271.74353
2616,8501162:0:2,8591993,280.13507
2617,8501162:0:2,8501162:0:1,0.0
2618,8501162:0:2,8592187,444.49194
2619,8501162:0:2,8592087,455.72186
2620,8501162:0:2,8592181,197.33751
2621,8501181:0:2,8501181:0:1,0.0
2622,8501181:0:2,Parent8501181,0.0
2623,8501181:0:2,8501160:0:2,424.9779
2624,8501181:0:2,8501120:0:8,455.43802
2625,8501181:0:2,8501120:0:3,455.43802
2626,8501181:0:2,Parent8501120,455.43802
2627,8501181:0:2,8579254,289.19604
2628,8501181:0:2,8501120:0:5,455.43802
2629,8501181:0:2,Parent8501160,424.9779
2630,8501181:0:2,8592050:0:F,422.53848
2631,8501181:0:2,8592050:0:H,359.1886
2632,8501181:0:2,8501120:0:70,455.43802
2633,8501181:0:2,8592098,290.8989
2634,8501181:0:2,8579253,122.82039
2635,8501181:0:2,8590442,284.40012
2636,8501181:0:2,8501120:0:6,455.43802
2637,8501181:0:2,8592050:0:C,359.1886
2638,8501181:0:2,8592133,498.9176
2639,8501181:0:2,8591818,54.007874
2640,8501181:0:2,8591988,191.45209
2641,8501181:0:2,8592050,359.1886
2642,8501181:0:2,8592050:0:D,359.1886
2643,8501181:0:2,8592125,423.4987
2644,8501181:0:2,8501120,455.43802
2645,8501181:0:2,8501181,0.0
2646,8501181:0:2,Parent8592050,359.1886
2647,8501181:0:2,8592011,407.73706
2648,8501181:0:2,8501120:0:1,455.43802
